fc,p.val,auc,auc.ci.l,auc.ci.h,pr.shift,pr.n,pr.p,bcol,p.adj,comparison,species
0.0620272165890833,0.726719150435419,0.507626514611547,0.46482412731716,0.550428901905934,0.0156806842480399,0.114754098360656,0.130434782608696,#A5002685,0.992837187150877,t0_t2,14-2 sp001940225__2165
0.221107851908854,0.337843757099641,0.526870990734141,0.471273354472589,0.582468626995693,0.0139700641482537,0.229508196721311,0.243478260869565,#A5002685,0.992837187150877,t0_t2,992a sp001940245__2368
0,0.861879368591112,0.502708481824661,0.472472254337962,0.532944709311361,0.0116892373485388,0.0491803278688525,0.0608695652173913,#A5002685,0.992837187150877,t0_t2,Acetatifactor sp002314715__1991
0.193105948258376,0.485141614199914,0.519315751960086,0.46469760114463,0.573933902775541,0.0134711332858161,0.221311475409836,0.234782608695652,#A5002685,0.992837187150877,t0_t2,Acetatifactor sp900066365__1990
0.717325241729241,0.00189900684349907,0.606486101211689,0.537218721743925,0.675753480679454,0.0264433357091946,0.434426229508197,0.460869565217391,#A5002685,0.0189378583080831,t0_t2,Acutalibacter sp000435395__1345
0,0.942428021863623,0.50064148253742,0.484140368134515,0.517142596940325,0.00919458303635068,0.00819672131147541,0.0173913043478261,#A5002685,0.992837187150877,t0_t2,Adlercreutzia caecimuris__9539
0.590675838028452,0.00267459003013954,0.609586600142552,0.538047638976448,0.681125561308655,0.0431218816821098,0.565573770491803,0.608695652173913,#A5002685,0.0256197571308103,t0_t2,Agathobacter faecis__2141
0.664095063970857,0.000148776079714123,0.638952245188881,0.567304478998373,0.710600011379389,0.0369208838203848,0.60655737704918,0.643478260869565,#A5002685,0.0019340890362836,t0_t2,Agathobacter rectale__2145
0.827444998886471,3.21088273258338e-08,0.705880256593015,0.636019484337969,0.77574102884806,0.0347113328581611,0.713114754098361,0.747826086956522,#A5002685,7.30475821662718e-07,t0_t2,Agathobacter sp000434275__2143
0.929784297384162,1.03015212155535e-10,0.742124019957234,0.675767526188135,0.808480513726334,0.0392017106200998,0.786885245901639,0.826086956521739,#A5002685,3.54706433205814e-09,t0_t2,Agathobacter sp900317585__2146
0.35290203282999,0.000470590792018261,0.629330007127584,0.557476190720238,0.701183823534929,0.0317177476835353,0.663934426229508,0.695652173913044,#A5002685,0.00545029699119332,t0_t2,Agathobaculum butyriciproducens__1714
-1.67683910643709,2.71867689997686e-10,0.265645046329294,0.195344710721065,0.335945381937524,-0.000570206699928688,0.704918032786885,0.704347826086957,#31369585,9.11472202781715e-09,t0_t2,An172 sp002160515__1285
0.0338388505434153,0.837987404807413,0.504276550249465,0.46333729583259,0.54521580466634,-0.00171062009978618,0.114754098360656,0.11304347826087,#A5002685,0.992837187150877,t0_t2,Anaerovibrio sp000622005__3577
0.471185989157045,0.0187469817256452,0.586421952957947,0.514549394534757,0.658294511381138,0.0297220242337847,0.631147540983607,0.660869565217391,#A5002685,0.145538185188714,t0_t2,Anaerovibrio sp002100115__3578
-0.745817406590244,3.25665537722115e-10,0.263649322879544,0.19826718951949,0.329031456239597,0.0215965787598004,0.926229508196721,0.947826086956522,#31369585,1.06384075655891e-08,t0_t2,Angelakisella sp003453215__1545
0.222916504780699,0.427796679257297,0.52223806129722,0.466781713689894,0.577694408904546,0.0052744119743407,0.229508196721311,0.234782608695652,#A5002685,0.992837187150877,t0_t2,Bacillus_A thuringiensis_J__4827
-0.657270963418745,0.122831071442078,0.451104775481112,0.388124583510387,0.514084967451837,0.00306486101211689,0.336065573770492,0.339130434782609,#31369585,0.752340312582725,t0_t2,Bacteroides fragilis__12521
0.754238119381759,0.00577518139462459,0.594868139700641,0.525723393052051,0.664012886349232,0.0182466143977192,0.442622950819672,0.460869565217391,#A5002685,0.0507419385982878,t0_t2,Bifidobacterium animalis__8863
1.88618285928865,1.41382302483211e-16,0.809087669280114,0.743601776920178,0.87457356164005,0.0459016393442624,0.754098360655738,0.8,#A5002685,1.63746412148737e-14,t0_t2,Bifidobacterium boum__8866
1.75209908544913,9.07089539827738e-17,0.811332858161083,0.747930310707358,0.874735405614809,0.0550962223806131,0.762295081967213,0.817391304347826,#A5002685,1.15563207374054e-14,t0_t2,Bifidobacterium thermacidophilum__8868
0,0.925175448748355,0.501140413399858,0.478009197421798,0.524271629377917,0.00199572344975053,0.0327868852459016,0.0347826086956522,#A5002685,0.992837187150877,t0_t2,Blautia sp000432195__2198
